Date,PM10,SO2,CO,O3,NO2
20120101,78.708,0.013,0.696,0.021,0.023
20120102,48.875,0.006,0.554,0.021,0.024
20120103,70.625,0.007,0.558,0.020,0.026
20120104,56.750,0.005,0.454,0.024,0.019
20120105,50.625,0.004,0.408,0.022,0.023
20120106,56.333,0.007,0.533,0.017,0.026
20120107,57.958,0.006,0.629,0.011,0.038
20120108,63.083,0.006,0.650,0.011,0.038
20120109,101.917,0.022,0.792,0.018,0.028
20120110,107.458,0.017,0.771,0.016,0.031
20120111,55.167,0.006,0.467,0.024,0.020
20120112,49.708,0.005,0.438,0.019,0.024
20120113,76.542,0.010,0.696,0.013,0.036
20120114,57.792,0.006,0.471,0.019,0.025
20120115,52.125,0.007,0.521,0.020,0.025
20120116,29.583,0.004,0.462,0.016,0.026
20120117,37.583,0.006,0.483,0.010,0.035
20120118,37.958,0.004,0.542,0.010,0.032
20120119,23.750,0.004,0.433,0.021,0.025
20120120,29.458,0.004,0.433,0.021,0.026
20120121,29.583,0.004,0.458,0.021,0.023
20120122,27.417,0.003,0.342,0.029,0.011
20120123,28.667,0.003,0.312,0.028,0.010
20120124,37.167,0.004,0.408,0.023,0.016
20120125,32.792,0.004,0.396,0.023,0.016
20120126,43.833,0.007,0.554,0.014,0.031
20120201,51.833,0.006,0.487,0.027,0.016
20120202,33.792,0.004,0.379,0.025,0.014
20120203,39.958,0.003,0.396,0.020,0.021
20120204,76.375,0.011,0.683,0.015,0.035
20120205,82.292,0.009,0.721,0.012,0.039
20120206,80.500,0.007,1.000,0.005,0.052
20120207,62.667,0.005,0.500,0.022,0.021
20120208,33.500,0.003,0.362,0.024,0.016
20120210,41.167,0.005,0.417,0.018,0.027
20120211,35.417,0.005,0.392,0.020,0.025
20120212,46.958,0.008,0.442,0.017,0.034
20120213,44.083,0.006,0.633,0.009,0.043
20120214,64.458,0.006,0.917,0.004,0.049
20120215,76.542,0.008,0.608,0.015,0.039
20120217,44.583,0.004,0.358,0.026,0.019
20120218,45.542,0.004,0.358,0.025,0.018
20120219,34.833,0.003,0.342,0.024,0.020
20120220,47.833,0.006,0.479,0.016,0.038
20120221,73.125,0.010,0.721,0.010,0.050
20120223,68.792,0.006,0.533,0.021,0.037
20120224,67.583,0.006,0.546,0.020,0.037
20120225,59.208,0.004,0.446,0.025,0.029
20120226,68.833,0.003,0.496,0.018,0.029
20120227,54.958,0.004,0.462,0.019,0.034
20120228,32.667,0.003,0.417,0.017,0.035
20120301,36.750,0.005,0.446,0.017,0.039
20120302,25.750,0.003,0.438,0.021,0.034
20120303,29.708,0.003,0.450,0.026,0.027
20120304,33.125,0.003,0.367,0.027,0.024
20120305,17.958,0.003,0.425,0.020,0.031
20120306,32.625,0.005,0.500,0.021,0.027
20120307,86.542,0.009,0.879,0.021,0.043
20120308,80.750,0.008,0.775,0.017,0.048
